occupation,occupationLabel,image,position_de_jeu_ou_sp_cialit_,position_de_jeu_ou_sp_cialit_Label,pays_de_citoyennet_,pays_de_citoyennet_Label
http://www.wikidata.org/entity/Q11958,Philip Cocu,http://commons.wikimedia.org/wiki/Special:FilePath/PSV%20Eindhoven%2C%20Teamcamp%20Bad%20Erlach%2C%20July%202014%20%28004%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q29999,Pays-Bas
http://www.wikidata.org/entity/Q11966,Bafétimbi Gomis,http://commons.wikimedia.org/wiki/Special:FilePath/Bafetimbi%20Gomis%202015%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q12160,Rémi Garde,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9mi%20Garde%20%283%29.JPG,http://www.wikidata.org/entity/Q904289,milieu défensif,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q12897,Pelé,http://commons.wikimedia.org/wiki/Special:FilePath/Pele%20by%20John%20Mathew%20Smith.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q155,Brésil
http://www.wikidata.org/entity/Q12897,Pelé,http://commons.wikimedia.org/wiki/Special:FilePath/Pele%20by%20John%20Mathew%20Smith.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q155,Brésil
http://www.wikidata.org/entity/Q12984,Stephan El Shaarawy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q38,Italie
http://www.wikidata.org/entity/Q12984,Stephan El Shaarawy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q38,Italie
http://www.wikidata.org/entity/Q13002,Paul Gascoigne,http://commons.wikimedia.org/wiki/Special:FilePath/Gascoigne%2C%20Paul.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q13054,Steed Malbranque,http://commons.wikimedia.org/wiki/Special:FilePath/Malbranque.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q31,Belgique
http://www.wikidata.org/entity/Q13054,Steed Malbranque,http://commons.wikimedia.org/wiki/Special:FilePath/Malbranque.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q13055,Rémy Vercoutre,http://commons.wikimedia.org/wiki/Special:FilePath/SM%20Caen%20vs%20UNFP%2C%20July%2030th%202016%20-%20R%C3%A9my%20Vercoutre%201.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q13057,Mathieu Gorgelin,http://commons.wikimedia.org/wiki/Special:FilePath/2013-03-03%20Match%20Brest-OL%20-%20Gorgelin.JPG,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q13304,Mouhamadou Dabo,http://commons.wikimedia.org/wiki/Special:FilePath/Mouhamadou%20Dabo.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q13304,Mouhamadou Dabo,http://commons.wikimedia.org/wiki/Special:FilePath/Mouhamadou%20Dabo.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q1041,Sénégal
http://www.wikidata.org/entity/Q13306,Alexandre Lacazette,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Lacazette%20at%20Baku%20before%202019%20UEFA%20Europe%20League%20Final.jpg,http://www.wikidata.org/entity/Q9731197,avant-centre,http://www.wikidata.org/entity/Q142,France
